,a,b,c,d,e,f
0,196,288,267,151,478,244
1,66,135,126,378,490,317
2,498,374,385,204,374,125
3,326,241,271,28,474,235
4,117,131,69,462,217,193
5,275,22,152,393,68,1
6,194,256,313,91,273,387
7,183,251,157,496,66,431
8,368,308,310,376,233,266
9,262,392,195,196,141,12
10,273,322,86,70,215,403
11,297,463,159,102,10,74
12,15,184,151,496,298,125
13,473,284,321,378,174,7
14,129,111,15,476,267,321
15,303,372,326,367,118,497
16,141,194,359,355,48,140
17,311,205,103,343,494,312
18,497,183,252,53,95,139
19,96,161,375,123,439,102
